,Python Insert,Numpy Insert,Linked List Insert,Python Search,Numpy Search,Linked List Search,Python Delete,Numpy Delete,Linked List Delete
0,1948138400,2466207800,20082843200,2033314300,1166655700,7115167400,2285493800,1522113500,7379567100
1,2624126200,4045757900,27390628400,2201244000,1158507200,5457961600,2017276300,1388100800,7080269200
2,1600917200,2430635700,16701198700,1413558100,699075600,3747034700,1334711500,825772300,4802368200
3,1428831700,2481929100,16484168700,1389132600,664022700,3608633400,1338158100,840036500,4726914800
4,1442559000,2400661400,16951344200,1358890500,703350600,3751909000,1311932100,802432500,4651423300
5,1471778800,2430857900,17056610200,1358758100,692348600,3695936600,1290102600,792165900,4633563600
6,1465305600,2365454500,16576679700,1389873500,649304200,3648953400,1330226200,804642600,4891846100
7,1505346300,2488046400,16867822900,1301770800,667508700,3829014700,1362060700,790168100,4767992900
8,1495936700,2414012200,16252933900,1344855500,649987900,3682797200,1297037500,791072300,4743747200
9,1641982000,2701405100,16872253000,1361919800,684804800,3713082600,1325202200,809213300,4929967400
10,1583786900,2402702000,16858360500,1303128900,674761100,3525318200,1295250200,793390600,4805626100
11,1468690900,2635024900,17671630000,1311226000,697296600,3447362500,1383250300,816910600,4732658000
12,1683451000,2534097400,16885563800,1316268400,662048100,3659447100,1299671200,862197600,4937900800
13,1463006900,2548842600,16986635700,1346437200,692033800,3711351800,1330028900,803987600,4676501500
14,1433372800,2420843400,17350711100,1310436200,694238300,3569223800,1387688400,800980400,4726723500
15,1429967700,2451579800,18048200300,1367626500,703208100,3657186100,1306022100,803772400,4706892600
16,1480165300,2353456200,17078298500,1316882000,667693600,3600541300,1295969300,805917800,4616337800
17,1465519300,2454030600,17246563200,1339813700,690681800,3522346700,1316066600,802674600,4590279700
18,1424532300,2371933900,16791306700,1346976400,643870900,3562073300,1353833800,816741000,4480766400
19,1500222200,2395420000,18483262900,1531202300,681934700,3802025900,1328861600,803727100,4667272600
20,1429036700,2333484600,16850785600,1435243300,688472500,3746673100,1249512300,800545700,4652581400
21,1440396000,2447086800,16971285700,1434833500,686960500,3706122800,1346560100,803287300,4740828000
22,1482844200,2369480900,16296820700,1549819600,666738000,3687249100,1312498200,855354400,4682106100
23,1426952400,2449495900,16777571600,1688653100,1039021000,3960626700,1417125600,796688500,4619159400
24,1415004400,2379726000,16522449000,1487084200,756060900,4272387900,1383535300,839555200,4722196200
