,Python Insert,Numpy Insert,Linked List Insert,Python Search,Numpy Search,Linked List Search,Python Delete,Numpy Delete,Linked List Delete
0,2873959700,4530865200,25010852200,1653994600,629618800,4131707400,1604191200,849739800,4364711300
1,2472010000,2599525100,16349962800,1033127000,388197300,2844418000,967281500,525141300,2941593200
2,1708169900,2736452700,15345914200,1052150800,404373900,2674297700,1009521800,508944600,2788168100
3,1579808600,2611234600,16594506700,1002182300,384988100,3103942400,1128214600,517830300,3483126000
4,1650350400,2668358700,15629863200,1016098100,369088400,2685765800,975128000,536115800,2925660600
5,1598336900,2546671600,16639921200,1085177300,445419700,2742509500,957511400,537173700,2901984100
6,1639186300,2717459700,15478900200,1054405500,409553200,2648159900,1034689500,500974000,2871258200
7,1642802800,2560972700,16454018600,979954100,389258300,2738562700,958230800,495845700,2867108700
8,1650027700,2682898000,15929986600,1057073800,414507700,2798529500,1016404900,499493400,2816710400
9,1625008000,2657434600,16175386800,1020063300,447322600,3017464100,981049400,526449500,3024120200
10,1831187900,2714804600,15988970200,1029129000,384291900,2607489800,1071104100,540301600,2966230500
11,1805064300,2739039400,16705573100,992011400,377738100,2767743500,1016169900,542693500,3311529900
12,1695234800,2682426400,15632847800,1052147500,400881100,2747725200,1097490800,503137500,3085953400
13,1678188600,2671345800,15908903800,988384800,387512500,2748255800,993422800,521179800,3002683000
14,2286948500,2954411100,16311549800,1036282800,413381200,2582941200,1022675700,517349300,2860040800
15,1883083600,3245101700,16013185200,983677100,382681000,2754689900,979331600,500170000,3000364800
16,1581872800,2698941600,18200356800,1139002400,470787600,2792852800,1031688300,517601600,2896252000
17,1614094000,2528787100,18783032100,992615200,377343700,2700499500,962739000,486167000,2901250800
18,1618457200,2700099400,19126657400,1039631000,389029500,2694930200,1118120200,516285000,2853467500
19,1627528300,2592858200,18074492300,1035798800,380909800,2833290400,987077600,518326500,2842030600
20,1645417500,2629882900,18452533500,1081099000,388712800,2765788000,970811800,511271500,2836879700
21,1643929700,2639275800,17829700000,1006911400,390435000,2982595900,964515800,503763700,2911660000
22,1648790900,2626458800,18539961100,1075300400,404555700,3066937400,1132725100,587782200,3247869700
23,1634919100,2529041400,18432803900,1070453000,418904500,2794579400,1115548200,556350600,3011039200
24,1685765500,2618977100,17848261200,1122894900,395430700,2725748800,1025337300,532622400,2917094400
