,Python Insert,Numpy Insert,Linked List Insert,Python Search,Numpy Search,Linked List Search,Python Delete,Numpy Delete,Linked List Delete
0,2946184000,5123234100,18671883600,981897000,486884000,2540978300,1194376100,632000300,2541020200
1,1715179700,2595596900,12326373800,608000000,249373800,1534148900,578217900,372158000,1602881200
2,1697243900,2572631300,11964366800,656552000,273143200,1476896100,602421600,352447100,1527429000
3,1683550900,2639649500,12239524000,593477000,268303000,1587604900,611382100,386187700,1613000600
4,1764959300,2586267500,11807325600,656584800,283170100,1614337700,602261400,367491200,1556601600
5,1643928500,2561457800,11812833700,587099800,362486000,1799976700,665403900,372064100,1579169500
6,1727495100,2603558000,11303767100,581173700,263845000,1569600700,650757700,343642700,1929106200
7,1732603200,2571710400,12244997500,614392200,263713700,1778317700,820317900,380064600,1729653400
8,1680177400,2728728800,11337292000,624619300,246449400,1495991400,570957100,378320200,1584897100
9,1678547200,2582640400,11712580600,624399300,251621200,1582154400,583680400,396198900,1582336000
10,1668617500,2596398900,11289694400,628344900,231674100,1483979800,583186500,383061900,1478019900
11,1761969400,2606052100,11600780300,579394700,238248800,1549862100,603313400,369451600,1650488300
12,1665288400,2549184400,11205406700,614178000,267057300,1479755400,599892600,376362300,1515463900
13,1683521900,2565314100,11797886200,600222400,251327800,1549314300,609445200,366303300,1591853600
14,1721617200,2580339200,11309347400,577087700,249027200,1518693800,564635600,369038900,1498974300
15,1690215500,2676246900,11711414100,630376200,241696000,1550162600,583027200,371040100,1549815000
16,1718899500,2563500900,11461852100,620221700,271030400,1516953700,594844600,372313700,1510424500
17,1663875500,2531324100,11576872300,557110700,272117400,1488416100,606339500,349280800,1567702300
18,1705244300,2564687800,11680705800,599832000,260571900,1553062900,554279000,399492100,1580560200
19,1738120800,2568471900,11692851300,600475500,249813600,1550183800,587844700,345423100,1550103500
20,1670731500,2583807000,12033700900,693535700,326364900,1813771800,631455400,400979900,1621555900
21,1702835400,2652207500,11682940400,609492800,253934700,1546682900,565720900,390410500,1513732200
22,1751316200,2715628900,11479060200,596542600,250607500,1483717100,595620200,352891700,1533308400
23,1684261200,2600815500,11765914600,601625600,278143100,1583503300,609221000,337495300,1533341800
24,1678833300,2597710600,11338186000,650050100,275713800,1551216200,586350900,397700100,1514306500
