,Python Insert,Numpy Insert,Linked List Insert,Python Search,Numpy Search,Linked List Search,Python Delete,Numpy Delete,Linked List Delete
0,2781736000,4199987900,27255714100,1954351700,917987800,5070200600,2461561700,1167636700,6108141900
1,2737330300,4106488700,28145589800,2170280900,1395353300,6170690700,2069625400,1130171900,6563112400
2,1503669800,2547309700,18148948300,1516640200,550022200,4013651900,1334962200,639877000,4345416400
3,1527538500,2498843600,19650665000,1712988100,584410500,3882865700,1233420100,766817700,4119246000
4,1569140500,2501040500,18314970900,1784903600,556921200,3999053900,1481800300,682721200,3910766200
5,1557788200,2519382600,19184622000,1438224200,563148300,3769607000,1214079800,666326200,3983285900
6,1597569500,2567027800,16533042800,2209681500,1056226700,3776121400,1338088800,690495700,3862312500
7,1531129400,2505794700,17778669400,1287267000,597945900,5446565900,1637815000,766167200,4812361100
8,1546839800,2511885000,16817306300,1316307600,533973700,5032998700,1350318900,679654000,4162585900
9,1564641700,2516047200,17669286700,1293159100,524596800,4331685700,2844829300,715837600,4985099400
10,1518163500,2513792400,16716012400,1250463500,500081000,3341544000,1479471600,1949180100,4597024000
11,1648626700,2527099900,18714849900,1219229300,549348400,3608399100,1609729700,2016400800,4674858100
12,1544967900,2515831200,16569138500,1351357500,533610700,3562389100,1569388200,1388178300,5425573100
13,1566534200,2575971400,18004854500,1256977500,542990000,3574301900,1308772900,716865700,6027782000
14,1531963000,2629852200,16631100800,1268667500,527798000,3242262200,1262786500,695772200,4537376000
15,1516105400,2496859200,17383137800,1267662600,521397800,3678796400,1264570400,650822700,4187659300
16,1497485900,2490791500,16982013100,1293826600,532386000,3420790900,1215009700,682393000,4092752500
17,1533211500,2471094800,17314397500,1283406500,497412300,3483989000,1249152900,650015200,4051885700
18,1511104200,2430019100,17000306100,1285868800,496429300,3441492100,1258447300,667900800,3873727500
19,1526074500,2546562700,17472272000,1285521700,538500100,3675117800,1209218900,701564700,4687035000
20,1589360000,2542756100,16630587700,1254746700,539672500,3463296000,1307117600,656322600,4084416400
21,1529328700,2523065500,17578434700,1303344700,500761200,3805664100,1275551900,669640500,4165839100
22,1596256200,2493136300,16714440900,1241663300,532863800,3309857900,1274307500,649503300,3930780000
23,1543609400,2566719000,17453347100,1300014600,522529600,3579321800,1252489700,643780100,4147825000
24,1552403900,2550621200,16933202100,1316154300,521225900,3434383700,1232787900,661743600,3953105100
